,Title,Published_date,Views,Likes,Comments,Month
162,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,12922,546,219,Oct
163,Top 10 Udemy Courses for Data Analysts,2020-10-22,126585,4071,273,Oct
164,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,170689,6053,984,Oct
165,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4228,172,72,Oct
166,Top 10 Coursera Courses for Data Analysts,2020-10-13,97063,4431,274,Oct
167,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,6879,347,178,Oct
168,Data Analyst Expectations vs Reality,2020-10-06,74683,2795,191,Oct
169,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7009,255,164,Oct
170,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,43204,1446,706,Sep
171,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14171,597,82,Sep
172,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,408618,12031,3795,Sep
173,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,42954,1307,71,Sep
174,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,18406,639,82,Sep
175,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,10810,198,116,Sep
176,Live Data Analyst Q&A #3,2020-08-29,2714,98,43,Aug
177,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,126598,4605,273,Aug
178,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,888416,19180,1043,Aug
179,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,29779,524,90,Aug
180,What Does a Data Analyst Actually Do?,2020-07-29,748988,15401,425,Jul
181,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,3973,162,67,Jul
182,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,50647,1320,161,Jul
183,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,704449,18292,558,Jul
184,Best Free Online Courses for Data Analysts,2020-06-23,55001,2716,94,Jun
185,Best Online Courses for Data Analysts,2020-06-17,172224,9032,408,Jun
186,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,718896,22767,830,Jun
187,Intermediate SQL Tutorial | Aliasing,2020-06-04,64082,2082,62,Jun
188,Data Analyst Q&A LIVE,2020-05-31,8756,238,54,May
189,Data Analyst Interviews | Salary Negotiation,2020-05-27,22057,701,27,May
190,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,57431,1412,32,May
191,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,97809,2669,95,May
192,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,69088,1437,65,May
193,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,14711,514,50,Apr
194,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,64671,1786,96,Apr
195,Intermediate SQL Tutorial | Having Clause,2020-04-09,76857,2424,53,Apr
196,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,150132,4179,280,Apr
197,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,121873,2807,101,Mar
198,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,246954,4782,280,Mar
199,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,122688,2512,270,Mar
200,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,146997,4497,179,Mar
201,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,153733,3221,88,Mar
202,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,226401,3914,166,Mar
203,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,708150,10850,1119,Mar
204,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,24704,836,162,Feb
205,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,22572,495,39,Feb
206,Data Analyst Salary in 2020,2020-02-19,7835,154,25,Feb
207,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,11682,536,39,Feb
208,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47103,1735,247,Feb
209,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,105981,3170,95,Feb
210,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,62084,1523,64,Jan
211,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,13664,377,20,Jan
212,Data Analyst Salary | 100k with No Experience,2020-01-23,58765,2063,225,Jan
213,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,7355,283,18,Jan
214,Top 3 Data Analyst Skills in 2020,2020-01-17,26415,1316,138,Jan
